Phase,Duration (s),Start,End,Gapped
B,16,2026-02-25T03:48:25+13:00[Pacific/Auckland],2026-02-25T03:48:41+13:00[Pacific/Auckland],Yes
D,16,2026-02-25T03:48:41+13:00[Pacific/Auckland],2026-02-25T03:48:57+13:00[Pacific/Auckland],Yes
<A>,50,2026-02-25T03:48:57+13:00[Pacific/Auckland],2026-02-25T03:49:47+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T03:49:47+13:00[Pacific/Auckland],2026-02-25T03:50:00+13:00[Pacific/Auckland],Yes
<A>,203,2026-02-25T03:50:00+13:00[Pacific/Auckland],2026-02-25T03:53:23+13:00[Pacific/Auckland],
B,16,2026-02-25T03:53:23+13:00[Pacific/Auckland],2026-02-25T03:53:39+13:00[Pacific/Auckland],Yes
<A>,16,2026-02-25T03:53:39+13:00[Pacific/Auckland],2026-02-25T03:53:55+13:00[Pacific/Auckland],Yes
C,13,2026-02-25T03:53:55+13:00[Pacific/Auckland],2026-02-25T03:54:08+13:00[Pacific/Auckland],Yes
<A>,74,2026-02-25T03:54:08+13:00[Pacific/Auckland],2026-02-25T03:55:22+13:00[Pacific/Auckland],
B,16,2026-02-25T03:55:22+13:00[Pacific/Auckland],2026-02-25T03:55:38+13:00[Pacific/Auckland],Yes
<A>,376,2026-02-25T03:55:38+13:00[Pacific/Auckland],2026-02-25T04:01:54+13:00[Pacific/Auckland],
B,16,2026-02-25T04:01:54+13:00[Pacific/Auckland],2026-02-25T04:02:10+13:00[Pacific/Auckland],Yes
<A>,143,2026-02-25T04:02:10+13:00[Pacific/Auckland],2026-02-25T04:04:33+13:00[Pacific/Auckland],
B,16,2026-02-25T04:04:33+13:00[Pacific/Auckland],2026-02-25T04:04:49+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T04:04:49+13:00[Pacific/Auckland],2026-02-25T04:05:06+13:00[Pacific/Auckland],Yes
<A>,68,2026-02-25T04:05:06+13:00[Pacific/Auckland],2026-02-25T04:06:14+13:00[Pacific/Auckland],
B,16,2026-02-25T04:06:14+13:00[Pacific/Auckland],2026-02-25T04:06:30+13:00[Pacific/Auckland],Yes
<A>,160,2026-02-25T04:06:30+13:00[Pacific/Auckland],2026-02-25T04:09:10+13:00[Pacific/Auckland],
B,17,2026-02-25T04:09:10+13:00[Pacific/Auckland],2026-02-25T04:09:27+13:00[Pacific/Auckland],Yes
C,16,2026-02-25T04:09:27+13:00[Pacific/Auckland],2026-02-25T04:09:43+13:00[Pacific/Auckland],Yes
<A>,346,2026-02-25T04:09:43+13:00[Pacific/Auckland],2026-02-25T04:15:29+13:00[Pacific/Auckland],
B,16,2026-02-25T04:15:29+13:00[Pacific/Auckland],2026-02-25T04:15:45+13:00[Pacific/Auckland],Yes
<A>,38,2026-02-25T04:15:45+13:00[Pacific/Auckland],2026-02-25T04:16:23+13:00[Pacific/Auckland],Yes
C,12,2026-02-25T04:16:23+13:00[Pacific/Auckland],2026-02-25T04:16:35+13:00[Pacific/Auckland],Yes
<A>,148,2026-02-25T04:16:35+13:00[Pacific/Auckland],2026-02-25T04:19:03+13:00[Pacific/Auckland],
B,16,2026-02-25T04:19:03+13:00[Pacific/Auckland],2026-02-25T04:19:19+13:00[Pacific/Auckland],Yes
C,17,2026-02-25T04:19:19+13:00[Pacific/Auckland],2026-02-25T04:19:36+13:00[Pacific/Auckland],Yes
